index,prediction,entity_value
987,,0.0 pound
988,,2.0 gram
989,,750.0 watt
990,,750.0 watt
991,,220.0 volt
992,125 gram,125.0 gram
993,,1688.0 gram
994,,10 kilogram
995,,470 gram
996,,454 gram
997,,4.0 ounce
998,,0.5 volt
999,8 gram,1023.0 gram
